X,Y,objectid,cenefa,zona_sitp,nombre,via,direccion_bandera,localidad,longitud,latitud,consecutivo_zona,tipo_m_s,consola,panel,audio,zonas_nuevas,globalid
-74.0803509436704,4.67768923139205,3871,261A04,04,IED Tomas Carrasquilla,KR 64,KR 64 - CL 75B,Barrios Unidos,-74.08035094,4.67768923,261,S,KR 64 - CL 75B (261A04),KR 64 - CL 75B,Carrera 64 Calle 75 Be,D,{C53E8BB4-62B4-46D6-BADD-155E3D3BFE24}
-74.1252098748292,4.70511805839286,3872,261A05,05,Br. Bolivia,Cl 70,CL 70 - KR 107A Bis,Engativá,-74.12520988,4.70511806,261,M,CL 70 - KR 107A Bis (261A05),CL 70 - KR 107A Bis,Calle 70 Carrera 107 A Bis,D,{76E42965-1BD0-456F-A671-2DCFD66297EB}
-74.1076298636847,4.63165175456434,3873,261A06,06,Urb. Puente Aranda,AC  17,AC 17 - KR 54,Puente Aranda,-74.10762986,4.63165176,261,S,AC 17 - KR 54 (261A06),AC 17 - KR 54,Avenida Calle 17 Carrera 54,K,{81D6F55F-0A22-4610-9BFC-8A3D190F383B}
-74.1133785571279,4.62199560372509,3874,261A07,07,Br. San Rafael,CALE 5A,CL 5A - KR 53C,Puente Aranda,-74.11337856,4.6219956,261,S,CL 5A - KR 53C (261A07),CL 5A - KR 53C,Calle Quinta A Carrera 53 C,F,{651CCB97-8AE4-4B4C-B8D2-1B67B2EDC292}
-74.1995943656973,4.6266203606878,3875,261A09,09,Urbanización Villas del Progreso,Cl 71 S,CL 71 Sur - KR 89B,Bosa,-74.19959437,4.62662036,261,S,CL 71 Sur - KR 89B (261A09),CL 71 Sur - KR 89B,Calle 71 Sur Carrera 89 Be,G,{8EAA97EE-1A56-4D90-8109-14A87B84738D}
-74.128317951049,4.58779414274555,3876,261A10,10,Br. Villa Mayor,KR 50,KR 50 - DG 42 Sur,Rafael Uribe,-74.12831795,4.58779414,261,S,KR 50 - DG 42 Sur (261A10),KR 50 - DG 42 Sur,Carrera 50 Diagonal 42 Sur,H,{E14201EF-D26E-4E76-B788-3467F8BA4171}
-74.1497005633067,4.54451772020068,3877,261A11,11,Br. Naciones Unidas,Dg  73A S,DG 73A Sur - KR 18J,Ciudad Bolívar,-74.14970056,4.54451772,261,S,DG 73A Sur - KR 18J (261A11),DG 73A Sur - KR 18J,Diagonal 73 A Sur Carrera 18 J,H,{B7F26B76-A053-4AC4-866A-C29A31B75DDF}
-74.1088848487268,4.54777341320648,3878,261A12,12,Br. Diana Turbay,Cl 48X S,CL 48X Sur - KR 3B,Rafael Uribe,-74.10888485,4.54777341,261,S,CL 48X Sur - KR 3B (261A12),CL 48X Sur - KR 3B,Calle 48 X Sur Carrera Tercera Be,H,{4ACDDA49-53C9-4048-BA1C-05E75DF48859}
-74.079927999977,4.5733479999031,3879,261A13,13,Br. La María,AC 11 Sur,AC 11 Sur - KR 3 Este,San Cristóbal,-74.079928,4.573348,261,S,AC 11 Sur - KR 3 Este (261A13),AC 11 Sur - KR 3 Este,Avenida Calle 11 Sur Carrera Tercera Este,L,{707B3D6D-767F-4572-AD76-A5E623D52B27}
-74.1247260000815,4.70489099972718,3880,261B05,05,Br. Villas del Dorado,Cl 70,CL 70 - KR 107,Engativá,-74.124726,4.704891,261,M,CL 70 - KR 107 (261B05),CL 70 - KR 107,(en blanco),D,{B6C1A6B9-7AFC-4AF1-B25D-5CDC97F4DD5D}
-74.0656003960132,4.64017463665441,3881,262A00,00,Br. Quesada,AVENIDA Cl 53,AC 53 - KR 13,Chapinero,-74.0656004,4.64017464,262,S,AC 53 - KR 13 (262A00),AC 53 - KR 13,Avenida Calle 53 Carrera 13,A,{EFFC2DCC-8ADF-4B4D-9E40-98494D106B82}
-74.0315166236518,4.71253249341916,3882,262A01,01,Br. Lisboa,AK 9,AC 134 - KR 7B,Usaquén,-74.03151662,4.71253249,262,S,AC 134 - KR 7B (262A01),AC 134 - KR 7B,Avenida Calle 134 Carrera Séptima Be,B,{1592A4C7-575D-4D7D-A6C0-314A0D92D905}
-74.0503239996411,4.74859600035526,3883,262A02,02,Br. Granada Norte,CL 167,CL 167 - KR 49A,Suba,-74.050324,4.748596,262,S,CL 167 - KR 49A (262A02),CL 167 - KR 49A,Calle 167 Carrera 49 A,B,{DBE009FF-7698-4645-846E-EA66509DD5CE}
-74.113298757932,4.72506288906287,3884,262A04,04,Ciudadela Colsubsidio,Cl 86A,CL 86A - KR 112F,Engativá,-74.11329876,4.72506289,262,S,CL 86A - KR 112F (262A04),CL 86A - KR 112F,Calle 86 A Carrera 112 F,D,{8FA42246-6745-4948-824E-EBB0AFB1934E}
