precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,localidad
960000000,127.0,3,4,5,LA CALLEJA USAQUEN,Entre 5 y 10 años,745000.0,2,771-M4150985,0,0,0,1,0,0,0,1,0,1,,USAQUEN
880000000,153.6,3,4,5,SANTA BARBARA USAQUEN,Más de 20 años,683000.0,2,771-M4151326,0,0,0,1,0,0,0,0,0,0,0.0,USAQUEN
3500000000,392.57,4,5,6,USAQUEN,Más de 20 años,3500000.0,4,11301-M3491505,0,1,0,0,0,0,0,0,1,0,1.0,USAQUEN
2380000000,370.0,5,5,6,SAN PATRICIO USAQUEN,Más de 20 años,1550000.0,4,4660-10004606,0,0,1,1,0,0,0,0,1,0,1.0,USAQUEN
925000000,190.0,3,2,5,BELLA SUIZA USAQUEN,Entre 5 y 10 años,785000.0,2,73-M3819613,0,0,0,1,0,1,0,0,1,0,1.0,USAQUEN
1750000000,193.0,2,4,6,LA CAROLINA USAQUEN,Entre 5 y 10 años,1132000.0,3,703-M4074439,0,0,0,1,0,0,0,0,1,0,1.0,USAQUEN
1350000000,198.0,3,4,5,LISBOA USAQUEN,Entre 10 y 20 años,900000.0,4,11013-M4136342,0,0,1,1,0,1,0,0,0,0,0.0,USAQUEN
1150000000,187.0,3,5,6,SANTA BIBIANA USAQUEN,Más de 20 años,980000.0,3,399-M3494848,0,0,0,1,0,0,0,0,0,1,,USAQUEN
820000000,157.0,3,4,4,CEDRITOS,Entre 10 y 20 años,580000.0,2,13294-M4141569,0,0,0,0,0,1,0,1,0,0,0.0,USAQUEN
1350000000,240.0,4,5,6,SANTA PAULA USAQUEN,Más de 20 años,1200000.0,3,920-M3759737,0,1,1,0,0,0,0,0,1,0,1.0,USAQUEN
1300000000,170.0,3,4,6,SANTA BARBARA OCCIDENTAL USAQUEN,Entre 5 y 10 años,,2,897-1015079,0,0,0,1,0,0,0,0,1,0,1.0,USAQUEN
